GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report/backend,com.iliani14.pg5100.services,CommentEJB,61,103,4,0,15,23,6,4,4,4
report/backend,com.iliani14.pg5100.services,UserEJB,65,141,4,4,15,36,6,11,3,10
report/backend,com.iliani14.pg5100.services,PostEJB,50,57,2,0,12,13,4,4,3,4
report/backend,com.iliani14.pg5100.entities,Countries,5,93,0,0,0,9,1,3,1,3
report/backend,com.iliani14.pg5100.entities,Comment,40,20,1,1,16,9,11,5,10,5
report/backend,com.iliani14.pg5100.entities,User,57,46,2,2,21,20,16,11,14,11
report/backend,com.iliani14.pg5100.entities,Post,43,24,1,1,17,10,12,6,11,6
report/frontend,com.iliani14.pg5100,UserController,74,0,6,0,22,0,13,0,10,0
report/frontend,com.iliani14.pg5100,PostController,46,0,2,0,15,0,9,0,8,0
report/frontend,com.iliani14.pg5100,CommentController,30,0,0,0,9,0,6,0,6,0
